comment_id;content;create_time;user_id;post_id
1;payment Hawaii Health;2022-04-25T15:09:15;1;1
2;monitor;2022-04-26T10:24:12;1;2
3;Refined fault-tolerant 1080p;2022-04-25T16:38:18;2;1
4;Liberia Fresh cross-platform;2022-04-25T19:25:38;2;3
5;Sausages;2022-04-26T07:17:29;1;1
6;indigo synthesize;2022-04-25T18:57:00;2;2
7;Savings feed;2022-04-26T01:29:42;1;3
8;online system-worthy eyeballs;2022-04-26T06:10:02;2;1
9;e-business Garden;2022-04-25T15:31:30;2;2
10;state Unbranded Springs;2022-04-25T20:39:31;2;1
